Order ID,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating
ORD00001,Educational Book,Books,49069.56,2,98139.12,9/12/2024,Debit Card,3.5
ORD00002,Jeans,Clothing,12755.85,4,51023.4,12/18/2024,UPI,3.9
ORD00003,Face Cream,Beauty,11092.19,4,44368.76,5/18/2024,Debit Card,4.4
ORD00004,Smartwatch,Electronics,32657.81,1,32657.81,11/8/2024,Debit Card,3.2
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,79770.24,12/27/2024,UPI,3.1
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,10/22/2024,Wallet,1.7
ORD00007,Sneakers,Clothing,38647.72,3,115943.16,7/4/2024,Wallet,2
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,74455.77,12/27/2024,Debit Card,2.4
ORD00009,Jacket,Clothing,1987.39,2,3974.78,1/18/2025,Debit Card,2.6
ORD00010,Tablet,Electronics,26876.51,2,53753.02,3/14/2024,Debit Card,4
ORD00011,Perfume,Beauty,46409.57,5,232047.85,2/8/2025,UPI,2.3
ORD00012,Lipstick,Beauty,48780.78,5,243903.9,4/13/2024,UPI,1.3
ORD00013,Educational Book,Books,6670.82,5,33354.1,2/23/2024,COD,1.2
ORD00014,Smartphone,Electronics,10826.05,1,10826.05,6/2/2024,Wallet,3.7
ORD00015,Comic Book,Books,6839.1,1,6839.1,9/12/2024,Credit Card,1.6
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,3/30/2024,Debit Card,1.6
ORD00017,Cookbook,Books,20817.46,2,41634.92,3/30/2024,Debit Card,2.3
ORD00018,Perfume,Beauty,44061.25,4,176245,4/22/2024,COD,2.5
ORD00019,Cookbook,Books,4398.59,5,21992.95,3/22/2024,Wallet,4
ORD00020,T-Shirt,Clothing,32565.77,5,162828.85,1/6/2025,COD,4.4
ORD00021,Cookware Set,Home & Kitchen,47529.36,1,47529.36,7/9/2024,Net Banking,4.5
ORD00022,Jeans,Clothing,37129.73,3,111389.19,1/22/2025,Wallet,4.3
ORD00023,Educational Book,Books,48258.19,4,193032.76,6/23/2024,UPI,1.6
ORD00024,Bedsheet,Home & Kitchen,32505.96,1,32505.96,3/19/2024,Wallet,2.8
ORD00025,Cookware Set,Home & Kitchen,4165.64,2,8331.28,11/24/2024,COD,1.1
ORD00026,T-Shirt,Clothing,2053.11,4,8212.44,7/23/2024,COD,3.4
ORD00027,Jeans,Clothing,38927.62,4,155710.48,8/24/2024,Wallet,2.5
ORD00028,Mixer Grinder,Home & Kitchen,28978.47,4,115913.88,7/21/2024,UPI,2.3
ORD00029,Lipstick,Beauty,21293.42,5,106467.1,4/16/2024,Wallet,2.2
ORD00030,Lipstick,Beauty,49097.01,4,196388.04,8/5/2024,Credit Card,3.7
ORD00031,Perfume,Beauty,47651.19,1,47651.19,4/14/2024,Net Banking,3.6
ORD00032,Hair Dryer,Beauty,15046.01,5,75230.05,10/17/2024,COD,1.1
ORD00033,Laptop,Electronics,36980.1,3,110940.3,10/1/2024,COD,3.2
ORD00034,Table Lamp,Home & Kitchen,38144.67,2,76289.34,7/15/2024,Net Banking,3.1
ORD00035,Laptop,Electronics,49355.45,2,98710.9,5/1/2024,COD,3.5
ORD00036,Shampoo,Beauty,12945.96,3,38837.88,6/10/2024,Wallet,1.4
ORD00037,Perfume,Beauty,34927.79,4,139711.16,6/27/2024,Credit Card,1.1
ORD00038,Table Lamp,Home & Kitchen,3677.4,3,11032.2,7/31/2024,UPI,3.7
ORD00039,Comic Book,Books,37004.54,4,148018.16,10/26/2024,Debit Card,4
ORD00040,Cookbook,Books,27961.78,5,139808.9,2/23/2024,Net Banking,4
ORD00041,Comic Book,Books,2655.8,2,5311.6,2/12/2024,Net Banking,3.7
ORD00042,Headphones,Electronics,965.51,4,3862.04,6/6/2024,COD,3.5
ORD00043,Bedsheet,Home & Kitchen,2980.08,3,8940.24,12/14/2024,Net Banking,4.2
ORD00044,Mixer Grinder,Home & Kitchen,8598.58,1,8598.58,10/9/2024,Debit Card,1.1
ORD00045,Shampoo,Beauty,31850.15,2,63700.3,4/14/2024,Net Banking,2.8
ORD00046,Smartwatch,Electronics,33443.32,5,167216.6,2/15/2024,UPI,2.4
ORD00047,Jacket,Clothing,29592.5,5,147962.5,7/25/2024,Net Banking,4.7
ORD00048,Hair Dryer,Beauty,11187.38,4,44749.52,6/22/2024,Wallet,2.3
ORD00049,Bedsheet,Home & Kitchen,23898.58,5,119492.9,11/28/2024,Credit Card,3.3
ORD00050,Comic Book,Books,1391.49,4,5565.96,8/11/2024,Credit Card,4.5
ORD00051,Jeans,Clothing,18607.69,5,93038.45,9/10/2024,COD,2.4
ORD00052,Fiction Novel,Books,46224.88,3,138674.64,10/30/2024,Credit Card,4.1
ORD00053,Tablet,Electronics,11864.13,5,59320.65,11/11/2024,Debit Card,1.3
ORD00054,Comic Book,Books,7757.2,5,38786,11/22/2024,Wallet,2.2
ORD00055,Smartwatch,Electronics,29745,1,29745,10/4/2024,UPI,3.6
ORD00056,Jeans,Clothing,39176.54,5,195882.7,4/4/2024,Net Banking,4.1
ORD00057,Jeans,Clothing,18075.19,5,90375.95,9/3/2024,Debit Card,1.7
ORD00058,Self-Help Book,Books,18830.59,4,75322.36,5/16/2024,Net Banking,3.6
ORD00059,Headphones,Electronics,38476.48,4,153905.92,8/30/2024,Credit Card,2
ORD00060,Laptop,Electronics,27120.36,2,54240.72,6/13/2024,Credit Card,3.8
ORD00061,Cookbook,Books,31627,5,158135,7/28/2024,Debit Card,3.1
ORD00062,Comic Book,Books,14505.79,3,43517.37,7/10/2024,UPI,3.9
ORD00063,Smartwatch,Electronics,15229.67,3,45689.01,7/21/2024,Credit Card,2.7
ORD00064,Table Lamp,Home & Kitchen,2158.12,3,6474.36,1/2/2025,COD,3.4
ORD00065,Lipstick,Beauty,11106.19,2,22212.38,12/22/2024,Wallet,1.1
ORD00066,Educational Book,Books,21690.55,2,43381.1,11/28/2024,Credit Card,1.9
ORD00067,Hair Dryer,Beauty,4225.69,4,16902.76,5/6/2024,Credit Card,2.5
ORD00068,Smartwatch,Electronics,23621.02,1,23621.02,2/26/2024,Wallet,4.7
ORD00069,Educational Book,Books,38937.92,3,116813.76,4/8/2024,Credit Card,3.4
ORD00070,Cookware Set,Home & Kitchen,2707.97,1,2707.97,4/28/2024,Net Banking,1.2
ORD00071,Face Cream,Beauty,23715.42,4,94861.68,3/24/2024,COD,2
ORD00072,Tablet,Electronics,9083.5,2,18167,7/5/2024,UPI,1.8
ORD00073,Lipstick,Beauty,26379.35,4,105517.4,9/7/2024,UPI,3
ORD00074,Jacket,Clothing,34023.96,3,102071.88,2/13/2024,Credit Card,4.6
ORD00075,Sneakers,Clothing,1542.1,4,6168.4,8/25/2024,Credit Card,1
ORD00076,Fiction Novel,Books,42981.08,3,128943.24,3/25/2024,COD,3.8
ORD00077,Sofa Cover,Home & Kitchen,46338.29,5,231691.45,3/22/2024,COD,3.4
ORD00078,Headphones,Electronics,34161.44,1,34161.44,6/30/2024,Wallet,2.4
ORD00079,Lipstick,Beauty,21317.31,5,106586.55,7/16/2024,Credit Card,4
ORD00080,Face Cream,Beauty,46011.84,4,184047.36,5/1/2024,COD,3.3
ORD00081,Perfume,Beauty,2097.99,1,2097.99,2/9/2025,Debit Card,3.2
ORD00082,Smartphone,Electronics,17104.91,3,51314.73,12/10/2024,Credit Card,2.7
ORD00083,Sofa Cover,Home & Kitchen,29326.6,3,87979.8,11/7/2024,Credit Card,4.9
ORD00084,Headphones,Electronics,28892.73,4,115570.92,11/11/2024,COD,1.3
ORD00085,Tablet,Electronics,35033.12,4,140132.48,12/3/2024,UPI,4.7
ORD00086,Jeans,Clothing,40069.3,3,120207.9,10/27/2024,Debit Card,2.4
ORD00087,Comic Book,Books,20613.14,4,82452.56,5/30/2024,UPI,3.4
ORD00088,Cookware Set,Home & Kitchen,3432,5,17160,4/12/2024,Credit Card,3.4
ORD00089,Shampoo,Beauty,25752.65,3,77257.95,6/28/2024,Net Banking,2.5
ORD00090,Smartwatch,Electronics,30238.47,2,60476.94,9/24/2024,Net Banking,4
ORD00091,Bedsheet,Home & Kitchen,34293.38,4,137173.52,4/1/2024,Net Banking,4.4
ORD00092,Perfume,Beauty,19498.32,2,38996.64,11/23/2024,Credit Card,3.6
ORD00093,T-Shirt,Clothing,39355.59,1,39355.59,10/22/2024,Wallet,2.9
ORD00094,Cookbook,Books,26575.86,2,53151.72,5/23/2024,Wallet,2
ORD00095,Headphones,Electronics,12506.31,3,37518.93,1/12/2025,UPI,1.4
ORD00096,T-Shirt,Clothing,19180.77,3,57542.31,1/28/2025,Wallet,3.9
ORD00097,Bedsheet,Home & Kitchen,8877.51,5,44387.55,5/31/2024,UPI,2.5
ORD00098,Sneakers,Clothing,32348.92,2,64697.84,2/2/2025,Credit Card,3.1
ORD00099,Smartwatch,Electronics,19375.76,2,38751.52,12/6/2024,Credit Card,2.1
ORD00100,Educational Book,Books,48157.93,1,48157.93,9/5/2024,COD,2.4
ORD00101,Laptop,Electronics,4360.05,4,17440.2,1/18/2025,Wallet,3.3
ORD00102,Jacket,Clothing,38093.14,1,38093.14,10/22/2024,Credit Card,3
ORD00103,Educational Book,Books,32788.2,5,163941,7/7/2024,Credit Card,4
ORD00104,Comic Book,Books,42715.55,1,42715.55,7/14/2024,Credit Card,4.4
ORD00105,Perfume,Beauty,28758.42,5,143792.1,9/22/2024,Net Banking,3.7
ORD00106,Educational Book,Books,22555.21,2,45110.42,5/10/2024,UPI,4.3
ORD00107,Dress,Clothing,33613.18,1,33613.18,8/24/2024,Wallet,3.5
ORD00108,T-Shirt,Clothing,44639,5,223195,5/4/2024,Credit Card,1.1
ORD00109,Jeans,Clothing,11785.4,5,58927,6/25/2024,Wallet,1.6
ORD00110,Self-Help Book,Books,30826.72,1,30826.72,8/4/2024,UPI,3.9
ORD00111,Jacket,Clothing,35811.1,4,143244.4,9/11/2024,Net Banking,1.9
ORD00112,Shampoo,Beauty,45387.99,3,136163.97,12/23/2024,COD,4.8
ORD00113,Sofa Cover,Home & Kitchen,39263.94,5,196319.7,8/5/2024,Wallet,3.8
ORD00114,Educational Book,Books,19787.61,1,19787.61,10/7/2024,Debit Card,3.9
ORD00115,Jacket,Clothing,26219.99,4,104879.96,3/14/2024,Debit Card,2.1
ORD00116,Lipstick,Beauty,14286.02,4,57144.08,5/25/2024,UPI,3.7
ORD00117,T-Shirt,Clothing,13019.07,3,39057.21,2/2/2025,Credit Card,2.8
ORD00118,Face Cream,Beauty,43488.42,3,130465.26,7/18/2024,Net Banking,3
ORD00119,Cookbook,Books,30903.49,4,123613.96,9/10/2024,Net Banking,1.7
ORD00120,Table Lamp,Home & Kitchen,37405.46,4,149621.84,1/15/2025,Wallet,1.3
ORD00121,Tablet,Electronics,30593.67,4,122374.68,5/18/2024,COD,1.5
ORD00122,Headphones,Electronics,28688.25,3,86064.75,5/27/2024,UPI,2.4
ORD00123,Hair Dryer,Beauty,12158.96,3,36476.88,3/21/2024,Net Banking,1.1
ORD00124,Headphones,Electronics,24500.05,3,73500.15,4/21/2024,Credit Card,4.4
ORD00125,Table Lamp,Home & Kitchen,44412.88,3,133238.64,9/13/2024,COD,1.4
ORD00126,Smartphone,Electronics,26615.97,3,79847.91,8/26/2024,Net Banking,3.6
ORD00127,Jacket,Clothing,3979.4,1,3979.4,10/2/2024,Debit Card,4.6
ORD00128,Perfume,Beauty,49687.49,2,99374.98,5/2/2024,UPI,2.5
ORD00129,Laptop,Electronics,11289.42,3,33868.26,8/10/2024,UPI,2.3
ORD00130,Dress,Clothing,27309.73,3,81929.19,6/17/2024,Net Banking,4
ORD00131,Laptop,Electronics,30374.4,5,151872,1/11/2025,Net Banking,1.8
ORD00132,Shampoo,Beauty,15486.41,4,61945.64,4/20/2024,COD,5
ORD00133,Smartwatch,Electronics,33698.34,1,33698.34,8/10/2024,Debit Card,4.2
ORD00134,Dress,Clothing,42987.64,5,214938.2,3/30/2024,Wallet,3.7
ORD00135,Smartwatch,Electronics,1104.25,5,5521.25,11/28/2024,UPI,3.8
ORD00136,Jacket,Clothing,14043.16,4,56172.64,6/1/2024,Wallet,3.1
ORD00137,Cookbook,Books,24032.88,1,24032.88,10/28/2024,Wallet,3.8
ORD00138,Face Cream,Beauty,32283.58,3,96850.74,1/2/2025,COD,4.4
ORD00139,Lipstick,Beauty,3848.54,1,3848.54,2/3/2025,Net Banking,4.6
ORD00140,Cookware Set,Home & Kitchen,48175.48,1,48175.48,7/10/2024,COD,1.5
ORD00141,Tablet,Electronics,2273.01,2,4546.02,1/1/2025,UPI,4.3
ORD00142,Jacket,Clothing,48346.41,3,145039.23,1/27/2025,Debit Card,1.4
ORD00143,Table Lamp,Home & Kitchen,8383.86,2,16767.72,9/19/2024,Wallet,3.1
ORD00144,Shampoo,Beauty,15344.02,1,15344.02,5/16/2024,UPI,4
ORD00145,Smartphone,Electronics,49142.57,4,196570.28,3/4/2024,UPI,4.9
ORD00146,Self-Help Book,Books,45182.27,5,225911.35,3/30/2024,Debit Card,3.1
ORD00147,Jacket,Clothing,18309.06,2,36618.12,5/11/2024,Net Banking,1.9
ORD00148,Smartwatch,Electronics,33021.1,4,132084.4,8/21/2024,Debit Card,4.4
ORD00149,Jacket,Clothing,42814.17,5,214070.85,9/27/2024,Debit Card,4.2
ORD00150,Perfume,Beauty,5293.87,2,10587.74,12/31/2024,Debit Card,2.7
ORD00151,Fiction Novel,Books,16596.58,5,82982.9,2/2/2025,UPI,2.1
ORD00152,Sneakers,Clothing,48940.95,1,48940.95,2/20/2024,Net Banking,1
ORD00153,Jeans,Clothing,10059.45,5,50297.25,3/23/2024,COD,4.3
ORD00154,Perfume,Beauty,4820.8,1,4820.8,12/10/2024,Wallet,4.3
ORD00155,Cookbook,Books,12087.35,4,48349.4,11/21/2024,UPI,2.6
ORD00156,Face Cream,Beauty,43522.08,5,217610.4,9/11/2024,COD,4.8
ORD00157,Smartwatch,Electronics,42409.26,1,42409.26,8/25/2024,Debit Card,2
ORD00158,Fiction Novel,Books,29882.47,5,149412.35,6/22/2024,Wallet,4.7
ORD00159,Smartwatch,Electronics,40233.28,5,201166.4,1/5/2025,Wallet,1.9
ORD00160,Sofa Cover,Home & Kitchen,15357.36,4,61429.44,8/6/2024,Debit Card,1.6
ORD00161,Self-Help Book,Books,10565.57,4,42262.28,7/4/2024,Net Banking,1.5
ORD00162,Fiction Novel,Books,42533.26,4,170133.04,11/28/2024,Debit Card,4.6
ORD00163,Mixer Grinder,Home & Kitchen,18426.9,4,73707.6,10/18/2024,Debit Card,4.7
ORD00164,Perfume,Beauty,23369.23,1,23369.23,11/23/2024,Credit Card,1.5
ORD00165,Perfume,Beauty,2735.32,5,13676.6,12/20/2024,Wallet,2.6
ORD00166,Laptop,Electronics,48944.01,3,146832.03,7/4/2024,COD,4.2
ORD00167,Hair Dryer,Beauty,32590.46,2,65180.92,4/11/2024,Net Banking,2.4
ORD00168,Hair Dryer,Beauty,35286.97,2,70573.94,10/9/2024,Net Banking,3.3
ORD00169,Fiction Novel,Books,42881.03,3,128643.09,11/29/2024,Net Banking,4.4
ORD00170,Shampoo,Beauty,28246.25,2,56492.5,6/3/2024,Net Banking,2.3
